City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,40,AU,1554768256,81,-42.78,147.06,55.0,13.87
Qaanaaq,80,GL,1554768316,94,77.48,-69.36,17.62,5.39
Hermanus,88,ZA,1554768052,92,-34.42,19.24,64.99,2.89
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Vardo,90,US,1554768255,72,39.62,-77.74,68.0,3.36
Butaritari,64,KI,1554768294,100,3.07,172.79,81.16,12.44
Hofn,92,IS,1554768317,100,64.25,-15.21,39.58,10.09
Port Alfred,0,ZA,1554768129,95,-33.59,26.89,64.0,1.99
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Zhigansk,64,RU,1554768317,75,66.77,123.37,26.44,5.39
Moree,40,AU,1554768036,41,-29.46,149.84,79.0,14.99
Hilo,20,US,1554768307,58,19.71,-155.08,82.4,13.87
Santa Fe,0,AR,1554768301,53,-31.62,-60.7,72.0,1.01
Dickinson,75,US,1554768046,19,46.88,-102.79,61.0,18.34
Bambous Virieux,40,MU,1554768238,83,-20.34,57.76,78.8,11.41
Norman Wells,40,CA,1554764400,60,65.28,-126.83,39.2,10.29
Kingisepp,24,RU,1554768320,85,59.38,28.61,34.36,6.29
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Ancud,75,CL,1554764400,100,-41.87,-73.83,53.6,14.99
Port Elizabeth,90,US,1554768311,77,39.31,-74.98,78.8,11.41
Kapaa,40,US,1554768075,61,22.08,-159.32,80.6,10.29
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Waipawa,0,NZ,1554768322,86,-39.94,176.59,61.99,9.42
Sovetskiy,0,RU,1554768322,69,56.76,48.47,20.05,2.82
Gat,0,SN,1554766200,41,14.69,-16.54,87.8,16.11
Ponta Do Sol,64,BR,1554768297,94,-20.63,-46.0,67.12,3.04
North Bend,90,US,1554768109,93,43.41,-124.22,55.99,10.29
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Arraial Do Cabo,88,BR,1554768293,100,-22.97,-42.02,76.39,7.85
Lengshuijiang,8,CN,1554768323,67,27.66,111.45,77.02,9.42
Punta Arenas,90,CL,1554767547,93,-53.16,-70.91,44.6,20.8
Albany,90,US,1554768158,76,42.65,-73.75,57.99,6.35
Airai,0,TL,1554768299,69,-8.93,125.41,77.65,1.03
Henties Bay,24,NA,1554768124,94,-22.12,14.28,55.99,1.99
Pervomayskoye,0,RU,1554768325,76,57.07,86.23,20.86,4.34
Ajdabiya,12,LY,1554768325,72,30.75,20.22,56.59,9.31
Lompoc,1,US,1554768129,68,34.64,-120.46,84.2,19.46
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Nanakuli,90,US,1554768221,51,21.39,-158.15,86.0,5.82
Chokurdakh,20,RU,1554768326,98,70.62,147.9,18.25,9.75
Hithadhoo,92,MV,1554768006,100,-0.6,73.08,83.32,4.79
Vila Franca Do Campo,75,PT,1554768303,62,37.72,-25.43,57.2,6.93
Saskylakh,20,RU,1554768327,78,71.97,114.09,4.12,9.64
Ballangen,12,NO,1554768089,79,68.34,16.83,24.01,3.36
Malibu,75,US,1554768043,94,33.61,-84.48,71.6,9.64
Srednekolymsk,12,RU,1554768327,80,67.46,153.71,25.18,3.11
Waipawa,0,NZ,1554768322,86,-39.94,176.59,61.99,9.42
Grand Gaube,40,MU,1554768238,83,-20.01,57.66,78.8,11.41
Kahului,40,US,1554768137,48,20.89,-156.47,87.8,20.8
Lata,0,IN,1554768328,79,30.78,78.62,41.83,2.59
Mahebourg,40,MU,1554768238,83,-20.41,57.7,78.8,11.41
Thompson,75,CA,1554764400,57,55.74,-97.86,21.2,9.17
Gander,75,CA,1554768124,58,48.95,-54.61,24.8,17.22
Padang,40,ID,1554764400,94,-0.92,100.36,75.2,2.24
Albany,90,US,1554768158,76,42.65,-73.75,57.99,6.35
Klaksvik,88,FO,1554765600,60,62.23,-6.59,41.0,13.87
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Pisco,8,PE,1554764400,30,-13.71,-76.2,71.6,25.28
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Zaraza,12,VE,1554768331,52,9.35,-65.33,80.62,13.96
Churapcha,48,RU,1554768331,62,62.0,132.43,31.84,5.5
Saint-Philippe,90,CA,1554768303,100,45.36,-73.48,37.4,12.75
Hami,0,CN,1554768331,53,42.84,93.51,39.58,2.48
Quatre Cocos,40,MU,1554768238,83,-20.21,57.76,78.8,11.41
Kemin,12,KG,1554768332,66,42.79,75.7,23.02,3.04
Avarua,24,CK,1554766200,78,-21.21,-159.78,80.6,16.11
Egvekinot,8,RU,1554768332,77,66.32,-179.17,8.08,4.5
Laibin,0,CN,1554768332,85,23.74,109.23,74.68,11.39
Nanortalik,12,GL,1554768303,86,60.14,-45.24,35.44,37.83
Sechura,48,PE,1554768056,70,-5.56,-80.82,77.29,13.67
Kuusankoski,90,FI,1554768223,93,60.91,26.62,33.01,4.7
East London,0,ZA,1554768301,100,-33.02,27.91,71.44,1.25
Hobart,40,AU,1554767956,69,-42.88,147.33,54.0,13.87
Humberto De Campos,92,BR,1554768055,96,-2.6,-43.46,80.89,10.65
Severo-Kurilsk,56,RU,1554768301,93,50.68,156.12,32.02,15.35
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Khuzhir,0,RU,1554768334,79,53.19,107.35,25.81,5.57
Ixtapa,5,MX,1554768037,65,20.71,-105.21,78.8,12.75
Jamestown,12,AU,1554768265,67,-33.21,138.6,56.59,11.61
Kodiak,1,US,1554768231,4,39.95,-94.76,80.6,5.82
Avarua,24,CK,1554766200,78,-21.21,-159.78,80.6,16.11
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Borgarnes,75,IS,1554768057,60,64.54,-21.92,41.0,9.17
Oriximina,76,BR,1554768335,100,-1.77,-55.87,74.32,2.26
Matay,88,EG,1554768336,69,28.42,30.79,67.84,8.14
Ajdabiya,12,LY,1554768325,72,30.75,20.22,56.59,9.31
Hobart,40,AU,1554767956,69,-42.88,147.33,54.0,13.87
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Saint-Philippe,90,CA,1554768303,100,45.36,-73.48,37.4,12.75
Zaysan,0,KZ,1554768067,66,47.47,84.87,18.52,3.27
Kyrylivka,20,UA,1554768337,86,47.32,37.67,49.84,10.27
Klaksvik,88,FO,1554765600,60,62.23,-6.59,41.0,13.87
Mount Isa,0,AU,1554766200,41,-20.73,139.49,78.8,10.29
Mount Isa,0,AU,1554766200,41,-20.73,139.49,78.8,10.29
Kaitangata,24,NZ,1554768256,60,-46.28,169.85,64.0,3.0
Nikolskoye,90,RU,1554768036,91,59.7,30.79,35.01,6.71
Vaini,0,IN,1554768257,90,15.34,74.49,65.23,1.36
Jogindarnagar,0,IN,1554768155,66,31.98,76.77,49.48,4.27
Castro,75,CL,1554764400,100,-42.48,-73.76,53.6,14.99
Ribeira Grande,40,PT,1554766200,67,38.52,-28.7,59.0,11.41
Nuuk,24,GL,1554768122,42,64.17,-51.74,44.6,21.92
Santiago De Cao,90,PE,1554764400,94,-7.96,-79.24,69.8,10.29
Atuona,36,PF,1554768264,100,-9.8,-139.03,81.61,7.81
Bluff,0,AU,1554768266,61,-23.58,149.07,77.92,4.56
Monterey,1,US,1554768035,68,36.6,-121.89,72.0,10.29
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
East London,0,ZA,1554768301,100,-33.02,27.91,71.44,1.25
Harrisonburg,90,US,1554768207,100,38.45,-78.87,66.2,2.37
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Port Elizabeth,90,US,1554768311,77,39.31,-74.98,78.8,11.41
Hobart,40,AU,1554767956,69,-42.88,147.33,54.0,13.87
Sitka,0,US,1554768092,28,37.17,-99.65,82.0,5.01
Luderitz,0,NA,1554768342,89,-26.65,15.16,56.32,8.81
Vaini,0,IN,1554768257,90,15.34,74.49,65.23,1.36
Esmeraldas,40,BR,1554764400,73,-19.76,-44.31,69.8,9.17
Erzin,75,TR,1554765600,87,36.95,36.2,64.4,4.7
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Lusambo,36,CD,1554768344,97,-4.97,23.44,71.44,2.1
Dakar,0,SN,1554766200,41,14.69,-17.45,75.2,16.11
Sergeyevka,20,KZ,1554768344,78,53.88,67.42,34.45,2.89
Dikson,56,RU,1554768344,100,73.51,80.55,13.21,6.62
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Barrow,0,AR,1554768255,42,-38.31,-60.23,71.08,11.16
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Port Macquarie,0,AU,1554768305,42,-31.43,152.91,88.0,2.24
Ribeira Grande,40,PT,1554766200,67,38.52,-28.7,59.0,11.41
Punta Arenas,90,CL,1554767547,93,-53.16,-70.91,44.6,20.8
Port Alfred,0,ZA,1554768129,95,-33.59,26.89,64.0,1.99
Leningradskiy,0,RU,1554768346,98,69.38,178.42,1.96,12.88
Kaitangata,24,NZ,1554768256,60,-46.28,169.85,64.0,3.0
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Butaritari,64,KI,1554768294,100,3.07,172.79,81.16,12.44
Nha Trang,20,VN,1554766200,88,12.24,109.19,78.8,1.12
Bima,0,ID,1554768347,87,-8.45,118.73,81.79,2.55
Thompson,75,CA,1554764400,57,55.74,-97.86,21.2,9.17
Kapaa,40,US,1554768075,61,22.08,-159.32,80.6,10.29
Thiruvananthapuram,20,IN,1554766200,79,8.48,76.92,86.0,4.7
Arak,0,IR,1554768348,91,34.1,49.69,39.04,6.29
Bafata,0,GW,1554768348,33,12.17,-14.67,84.49,6.24
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Mayo,75,CA,1554764400,27,63.59,-135.9,50.0,2.24
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Hameenlinna,75,FI,1554768157,96,61.0,24.46,32.0,10.29
Pangnirtung,56,CA,1554768349,94,66.15,-65.72,15.64,6.91
Carlisle,0,GB,1554768250,93,54.89,-2.94,52.0,17.22
Barrow,0,AR,1554768255,42,-38.31,-60.23,71.08,11.16
Luwuk,8,ID,1554768350,97,-0.95,122.79,80.8,3.04
Quetigny,8,FR,1554768018,93,47.31,5.12,44.6,2.82
Upernavik,24,GL,1554768312,88,72.79,-56.15,24.28,7.02
Chapais,90,CA,1554764400,36,49.78,-74.86,28.4,8.05
Punta Arenas,90,CL,1554767547,93,-53.16,-70.91,44.6,20.8
Kapaa,40,US,1554768075,61,22.08,-159.32,80.6,10.29
Ketchikan,75,US,1554767100,93,55.34,-131.65,46.4,8.05
Hay River,75,CA,1554764400,33,60.82,-115.79,57.2,8.05
Kolokani,0,ML,1554768352,30,13.58,-8.03,77.29,9.26
Wamba,8,CD,1554768352,92,2.14,27.99,71.08,2.1
Lompoc,1,US,1554768129,68,34.64,-120.46,84.2,19.46
Nikolskoye,90,RU,1554768036,91,59.7,30.79,35.01,6.71
Shu,12,KZ,1554768353,39,43.6,73.76,45.25,8.14
Port Alfred,0,ZA,1554768129,95,-33.59,26.89,64.0,1.99
Hamilton,40,BM,1554768027,82,32.3,-64.78,68.0,8.05
Lagoa,0,PT,1554768128,76,37.14,-8.45,55.99,5.82
Punta Arenas,90,CL,1554767547,93,-53.16,-70.91,44.6,20.8
Port Macquarie,0,AU,1554768305,42,-31.43,152.91,88.0,2.24
Lasa,20,CY,1554768083,87,34.92,32.53,57.99,6.93
Punta Arenas,90,CL,1554767547,93,-53.16,-70.91,44.6,20.8
Norman Wells,40,CA,1554764400,60,65.28,-126.83,39.2,10.29
Lebu,40,ET,1554764400,59,8.96,38.73,60.8,4.7
Waingapu,0,ID,1554768357,88,-9.65,120.26,78.64,3.38
Bayangol,0,MN,1554768357,58,48.91,106.09,27.16,5.57
Chuy,0,UY,1554768357,91,-33.69,-53.46,59.92,5.84
Mezen,56,RU,1554768358,83,65.85,44.24,24.64,5.91
Krasnoarmeysk,0,RU,1554768346,53,56.12,38.15,50.0,11.18
Georgetown,20,GY,1554764400,78,6.8,-58.16,80.6,9.17
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Albany,90,US,1554768158,76,42.65,-73.75,57.99,6.35
Port Alfred,0,ZA,1554768129,95,-33.59,26.89,64.0,1.99
Punta Arenas,90,CL,1554767547,93,-53.16,-70.91,44.6,20.8
Bathsheba,40,BB,1554764400,69,13.22,-59.52,78.8,14.99
Cayenne,90,GF,1554766200,78,4.94,-52.33,80.6,11.41
Nabire,0,ID,1554768360,86,-3.36,135.5,77.38,1.54
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Antofagasta,20,CL,1554764400,77,-23.65,-70.4,64.4,10.29
Solnechnyy,20,RU,1554768361,76,50.72,136.64,38.68,4.61
Kodiak,1,US,1554768231,4,39.95,-94.76,80.6,5.82
Geraldton,90,CA,1554764400,73,49.72,-86.95,32.0,3.36
Dunedin,0,NZ,1554768203,54,-45.87,170.5,66.0,11.99
Lingyuan,88,CN,1554768362,69,41.24,119.4,38.59,4.12
Walvis Bay,0,NA,1554768124,93,-22.95,14.51,55.99,3.36
Barrow,0,AR,1554768255,42,-38.31,-60.23,71.08,11.16
Honningsvag,80,NO,1554768362,100,70.98,25.97,25.36,5.12
Avarua,24,CK,1554766200,78,-21.21,-159.78,80.6,16.11
Hermanus,88,ZA,1554768052,92,-34.42,19.24,64.99,2.89
Saint-Philippe,90,CA,1554768303,100,45.36,-73.48,37.4,12.75
Beinamar,36,TD,1554768363,53,8.67,15.38,84.04,9.82
Nuqui,75,CO,1554764400,88,5.71,-77.27,80.6,1.7
Tansen,48,NP,1554768364,77,27.87,83.55,62.08,3.83
Walvis Bay,0,NA,1554768124,93,-22.95,14.51,55.99,3.36
Bayan,32,MN,1554768364,38,47.25,107.54,25.09,9.86
Saint-Philippe,90,CA,1554768303,100,45.36,-73.48,37.4,12.75
Ilulissat,0,GL,1554763800,48,69.22,-51.1,39.2,20.8
Nikolskoye,90,RU,1554768036,91,59.7,30.79,35.01,6.71
Jamestown,12,AU,1554768265,67,-33.21,138.6,56.59,11.61
Deputatskiy,56,RU,1554768368,88,69.3,139.9,18.16,4.0
Katsuura,40,JP,1554766496,50,33.93,134.5,51.8,13.87
Ossora,0,RU,1554768371,100,59.24,163.07,24.64,4.72
Thiruvananthapuram,20,IN,1554766200,79,8.48,76.92,86.0,4.7
Sonoita,1,US,1554768366,8,31.68,-110.66,91.99,11.41
Batemans Bay,0,AU,1554768084,73,-35.71,150.18,69.01,5.01
Madison,75,US,1554768361,33,43.07,-89.38,73.4,25.28
Presidencia Roque Saenz Pena,0,AR,1554768142,79,-26.79,-60.44,66.49,8.25
Hithadhoo,92,MV,1554768006,100,-0.6,73.08,83.32,4.79
Dikson,56,RU,1554768344,100,73.51,80.55,13.21,6.62
Bluff,0,AU,1554768266,61,-23.58,149.07,77.92,4.56
Westport,64,IE,1554768184,91,53.8,-9.52,48.99,6.24
Vaini,0,IN,1554768257,90,15.34,74.49,65.23,1.36
Vao,88,EE,1554768373,92,59.1,26.19,34.99,8.03
Atuona,36,PF,1554768264,100,-9.8,-139.03,81.61,7.81
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Puerto Ayora,20,EC,1554768072,78,-0.74,-90.35,82.4,10.29
East London,0,ZA,1554768301,100,-33.02,27.91,71.44,1.25
Cherskiy,12,RU,1554768374,79,68.75,161.3,22.3,2.37
Amot,0,NO,1554768004,63,59.57,7.99,30.0,2.04
Arraial Do Cabo,88,BR,1554768293,100,-22.97,-42.02,76.39,7.85
Hilo,20,US,1554768307,58,19.71,-155.08,82.4,13.87
Nouadhibou,0,MR,1554764400,60,20.93,-17.03,68.0,23.04
Iranshahr,20,IR,1554768375,56,27.21,60.69,66.94,4.05
Kapaa,40,US,1554768075,61,22.08,-159.32,80.6,10.29
Kodiak,1,US,1554768231,4,39.95,-94.76,80.6,5.82
Jamestown,12,AU,1554768265,67,-33.21,138.6,56.59,11.61
Hilo,20,US,1554768307,58,19.71,-155.08,82.4,13.87
Esil,32,KZ,1554768376,76,51.96,66.41,30.04,2.82
Kharitonovo,12,RU,1554768377,83,61.4,47.5,25.36,3.22
Hasaki,20,JP,1554768277,66,35.73,140.83,52.0,4.7
Port Moresby,40,PG,1554764400,83,-9.47,147.16,80.6,3.36
Rocha,0,UY,1554768092,87,-34.48,-54.34,57.76,4.9
Pingliang,12,CN,1554768378,70,35.54,106.68,42.73,9.26
Hilo,20,US,1554768307,58,19.71,-155.08,82.4,13.87
Quchan,88,IR,1554768378,99,37.11,58.51,45.34,1.32
East London,0,ZA,1554768301,100,-33.02,27.91,71.44,1.25
Sitka,0,US,1554768092,28,37.17,-99.65,82.0,5.01
Avera,1,US,1554768303,56,33.19,-82.53,68.0,3.36
Barrow,0,AR,1554768255,42,-38.31,-60.23,71.08,11.16
Vila Franca Do Campo,75,PT,1554768303,62,37.72,-25.43,57.2,6.93
Evensk,0,RU,1554768379,91,61.92,159.24,30.76,0.69
Jamestown,12,AU,1554768265,67,-33.21,138.6,56.59,11.61
Mahebourg,40,MU,1554768238,83,-20.41,57.7,78.8,11.41
Nanortalik,12,GL,1554768303,86,60.14,-45.24,35.44,37.83
Barrow,0,AR,1554768255,42,-38.31,-60.23,71.08,11.16
Ribeira Grande,40,PT,1554766200,67,38.52,-28.7,59.0,11.41
Port Blair,0,IN,1554768262,100,11.67,92.75,84.67,8.81
Vardo,90,US,1554768255,72,39.62,-77.74,68.0,3.36
Guerrero Negro,0,MX,1554768256,32,27.97,-114.04,81.79,13.44
Bluff,0,AU,1554768266,61,-23.58,149.07,77.92,4.56
Puerto Ayora,20,EC,1554768072,78,-0.74,-90.35,82.4,10.29
Lagoa,0,PT,1554768128,76,37.14,-8.45,55.99,5.82
Teya,75,MX,1554768067,55,21.05,-89.07,89.6,11.41
Westport,64,IE,1554768184,91,53.8,-9.52,48.99,6.24
Saskylakh,20,RU,1554768327,78,71.97,114.09,4.12,9.64
Hermanus,88,ZA,1554768052,92,-34.42,19.24,64.99,2.89
New Norfolk,40,AU,1554768256,81,-42.78,147.06,55.0,13.87
Sheksna,92,RU,1554768382,91,59.21,38.5,41.02,19.66
Tazovskiy,88,RU,1554768295,95,67.47,78.7,22.12,12.39
Norman Wells,40,CA,1554764400,60,65.28,-126.83,39.2,10.29
Dikson,56,RU,1554768344,100,73.51,80.55,13.21,6.62
Laviana,75,ES,1554768368,87,43.23,-5.53,54.0,2.24
Riberalta,40,BO,1554764400,62,-11.0,-66.08,84.2,3.38
Tuktoyaktuk,90,CA,1554764400,77,69.44,-133.03,5.0,14.99
Bafata,0,GW,1554768348,33,12.17,-14.67,84.49,6.24
Victoria,75,BN,1554766200,88,5.28,115.24,82.4,3.22
Karakol,12,KG,1554768384,77,42.49,78.39,16.45,1.21
Albany,90,US,1554768158,76,42.65,-73.75,57.99,6.35
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Avarua,24,CK,1554766200,78,-21.21,-159.78,80.6,16.11
Hilo,20,US,1554768307,58,19.71,-155.08,82.4,13.87
Kapaa,40,US,1554768075,61,22.08,-159.32,80.6,10.29
Tasiilaq,92,GL,1554763800,47,65.61,-37.64,33.8,27.51
Leh,76,IN,1554768386,91,34.16,77.58,13.12,0.76
Cabo San Lucas,5,MX,1554768136,24,22.89,-109.91,86.0,18.34
Bethel,90,US,1554766860,86,60.79,-161.76,39.2,10.29
Waingapu,0,ID,1554768357,88,-9.65,120.26,78.64,3.38
Atar,0,MR,1554768387,36,20.52,-13.05,61.72,7.07
Hualmay,32,PE,1554768388,66,-11.1,-77.61,70.27,5.06
Emerald,0,AU,1554768220,69,-23.53,148.16,77.0,6.93
Hobart,40,AU,1554767956,69,-42.88,147.33,54.0,13.87
Berlevag,80,NO,1554768127,100,70.86,29.09,26.17,7.02
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Bintulu,75,MY,1554764400,94,3.17,113.03,77.0,2.24
Arraial Do Cabo,88,BR,1554768293,100,-22.97,-42.02,76.39,7.85
Puerto Colombia,0,CO,1554768062,78,10.99,-74.96,81.0,20.8
Georgetown,20,GY,1554764400,78,6.8,-58.16,80.6,9.17
Campbellton,88,CA,1554768390,73,48.0,-66.68,24.82,4.83
Ahuimanu,1,US,1554768098,69,21.44,-157.84,86.0,10.29
Erzin,75,TR,1554765600,87,36.95,36.2,64.4,4.7
Vila Franca Do Campo,75,PT,1554768303,62,37.72,-25.43,57.2,6.93
Meiganga,24,CM,1554768390,92,6.52,14.29,68.02,3.33
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Arraial Do Cabo,88,BR,1554768293,100,-22.97,-42.02,76.39,7.85
Mount Pleasant,1,US,1554768106,41,33.16,-94.97,80.6,8.05
San Patricio,12,PY,1554768266,72,-26.98,-56.83,70.72,4.61
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Bluff,0,AU,1554768266,61,-23.58,149.07,77.92,4.56
Iqaluit,75,CA,1554768123,78,63.75,-68.52,10.4,23.04
Bambous Virieux,40,MU,1554768238,83,-20.34,57.76,78.8,11.41
Mareeba,40,AU,1554768017,74,-16.99,145.42,80.6,9.17
Chokurdakh,20,RU,1554768326,98,70.62,147.9,18.25,9.75
Airai,0,TL,1554768299,69,-8.93,125.41,77.65,1.03
Cockburn Town,8,TC,1554768393,96,21.46,-71.14,79.0,16.98
Port Elizabeth,90,US,1554768311,77,39.31,-74.98,78.8,11.41
Khatanga,76,RU,1554768311,81,71.98,102.47,5.83,12.17
