	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
85	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
86	Bambous Virieux	75	MU	1554773338	78	-20.34	57.76	80.6	10.29
87	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
88	Lamar	1	US	1554771180	26	38.09	-102.62	69.8	8.05
89	Tura	92	IN	1554773468	95	25.52	90.21	68.41	4.41
90	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
91	Saint-Philippe	90	CA	1554773550	100	45.36	-73.48	32.0	11.41
92	Nome	1	US	1554773532	68	30.04	-94.42	75.0	8.81
93	Stuttgart	20	DE	1554773574	87	48.78	9.18	51.01	2.24
94	Hilo	75	US	1554773539	61	19.71	-155.08	80.6	10.29
95	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
96	Albany	90	US	1554773576	87	42.65	-73.75	55.4	4.79
97	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
98	Klaksvik	92	FO	1554771000	65	62.23	-6.59	41.0	12.75
99	Nikolskoye	90	RU	1554773436	93	59.7	30.79	35.6	4.47
100	Muhos	88	FI	1554773472	68	64.81	26.0	30.2	18.34
101	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
102	Navsari	0	IN	1554771600	94	20.95	72.93	75.2	8.03
103	Xuanhua	88	CN	1554773593	86	40.61	115.04	31.96	5.35
104	Saint-Pierre	90	FR	1554773524	93	48.95	4.24	48.99	4.7
105	Amapa	75	HN	1554771600	70	15.09	-87.97	84.2	12.75
106	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
107	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
108	Salalah	75	OM	1554771000	78	17.01	54.1	80.6	2.24
109	Ostrovnoy	64	RU	1554773595	85	68.05	39.51	21.52	8.32
110	Tshela	80	CD	1554773595	94	-4.99	12.94	73.45	3.06
111	Haines Junction	32	CA	1554773595	53	60.75	-137.51	34.84	4.23
112	Najran	40	SA	1554771600	57	17.54	44.22	75.2	2.39
113	Pevek	8	RU	1554773596	91	69.7	170.27	5.32	3.11
114	Hermanus	88	ZA	1554773481	92	-34.42	19.24	66.99	3.4
115	Ribeira Grande	40	PT	1554771600	72	38.52	-28.7	59.0	14.99
116	Tuktoyaktuk	75	CA	1554771600	77	69.44	-133.03	3.2	13.87
117	Padang	20	ID	1554771600	78	-0.92	100.36	82.4	2.24
118	Turbat	12	PK	1554773597	51	26.0	63.05	77.23	2.84
119	Kuytun	0	RU	1554773597	44	54.34	101.51	38.89	3.51
120	Barrow	0	AR	1554773598	51	-38.31	-60.23	66.7	13.18
121	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
122	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
123	Hasaki	20	JP	1554773427	50	35.73	140.83	55.4	10.29
124	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
125	Ponta Do Sol	56	BR	1554773599	94	-20.63	-46.0	66.07	1.5
126	Port Lincoln	36	AU	1554773599	90	-34.72	135.86	61.66	10.56
127	Ponta Do Sol	56	BR	1554773599	94	-20.63	-46.0	66.07	1.5
128	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
129	Jumla	0	NP	1554773600	90	29.28	82.18	38.71	1.61
130	Husavik	88	CA	1554773418	88	50.56	-96.99	32.0	8.01
131	New Norfolk	20	AU	1554773594	75	-42.78	147.06	55.99	14.99
132	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
133	Bud	36	NO	1554773510	100	62.91	6.91	35.6	8.05
134	Ocean City	75	US	1554773597	88	30.44	-86.61	70.0	4.7
135	Hilo	75	US	1554773539	61	19.71	-155.08	80.6	10.29
136	Reconquista	0	AR	1554773601	91	-29.14	-59.64	64.45	6.35
137	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
138	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
139	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
140	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
141	Cherskiy	36	RU	1554773588	75	68.75	161.3	24.49	1.72
142	Lorengau	76	PG	1554773602	100	-2.02	147.27	79.84	3.33
143	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
144	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
145	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
146	Zaragoza	40	ES	1554773115	66	41.65	-0.88	53.6	9.17
147	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
148	Marfino	0	RU	1554773172	57	56.07	37.56	50.0	11.18
149	Saint-Philippe	90	CA	1554773550	100	45.36	-73.48	32.0	11.41
150	Sablan	0	PH	1554773604	57	16.5	120.49	83.26	2.77
151	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
152	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
153	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
154	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
155	Lewisporte	20	CA	1554772582	67	49.25	-55.06	21.2	16.11
156	Pangnirtung	68	CA	1554773605	92	66.15	-65.72	12.16	7.36
157	Ribeira Grande	40	PT	1554771600	72	38.52	-28.7	59.0	14.99
158	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
159	Kupang	20	ID	1554771600	62	-10.16	123.6	87.8	2.89
160	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
161	Kisaran	8	ID	1554773606	69	2.98	99.62	89.29	3.29
162	Kitgum	48	UG	1554773607	95	3.3	32.88	64.45	2.73
163	Tiksi	64	RU	1554773584	81	71.64	128.87	31.69	9.37
164	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
165	Butaritari	88	KI	1554773577	100	3.07	172.79	81.73	10.89
166	Nampula	75	MZ	1554771600	94	-15.12	39.26	73.4	6.93
167	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
168	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
169	Bilibino	0	RU	1554773609	66	68.06	166.44	26.29	3.22
170	Umea	80	SE	1554771000	63	63.83	20.26	30.2	18.34
171	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
172	Bundaberg	40	AU	1554773420	48	-24.87	152.35	88.0	4.7
173	Yining	92	CN	1554773610	91	29.04	114.56	72.28	8.1
174	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
175	Kodiak	1	US	1554773506	49	39.95	-94.76	71.6	3.36
176	Carnarvon	0	ZA	1554773586	81	-30.97	22.13	53.83	8.32
177	Chokurdakh	24	RU	1554773578	100	70.62	147.9	18.55	10.6
178	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
179	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
180	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
181	Kapaa	40	US	1554773606	61	22.08	-159.32	80.6	10.29
182	Ostrovnoy	64	RU	1554773595	85	68.05	39.51	21.52	8.32
183	Castro	90	CL	1554771600	100	-42.48	-73.76	51.8	17.22
184	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
185	Dongying	100	CN	1554773613	100	37.43	118.67	41.41	19.1
186	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
187	Khatanga	76	RU	1554773613	91	71.98	102.47	9.01	13.35
188	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
189	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
190	Provideniya	75	RU	1554771600	62	64.42	-173.23	19.4	15.66
191	Provideniya	75	RU	1554771600	62	64.42	-173.23	19.4	15.66
192	Leningradskiy	0	RU	1554773581	88	69.38	178.42	4.15	15.48
193	Faanui	68	PF	1554773615	100	-16.48	-151.75	84.52	14.07
194	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
195	Puerto Ayora	20	EC	1554773479	78	-0.74	-90.35	82.4	10.29
196	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
197	Barrow	0	AR	1554773598	51	-38.31	-60.23	66.7	13.18
198	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
199	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
200	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
201	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
202	Dosso	24	NE	1554773617	21	13.05	3.19	77.5	7.87
203	Aswan	0	EG	1554771600	30	24.09	32.9	80.6	4.7
204	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
205	Mount Gambier	75	AU	1554771600	54	-37.83	140.78	59.0	20.8
206	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
207	Inhambane	0	MZ	1554773618	100	-23.87	35.38	72.1	4.07
208	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
209	Dikson	56	RU	1554773618	100	73.51	80.55	15.49	8.37
210	Te Anau	12	NZ	1554773618	59	-45.41	167.72	63.55	12.39
211	Guerrero Negro	0	MX	1554773619	49	27.97	-114.04	71.38	11.05
212	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
213	Avera	75	US	1554773505	60	33.19	-82.53	68.0	5.82
214	Posse	8	BR	1554773620	90	-14.08	-46.36	69.04	1.99
215	Albany	90	US	1554773576	87	42.65	-73.75	55.4	4.79
216	Cayenne	90	GF	1554771600	74	4.94	-52.33	80.6	9.17
217	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
218	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
219	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
220	Flinders	0	AU	1554773539	29	-34.58	150.85	80.01	17.22
221	Pevek	8	RU	1554773596	91	69.7	170.27	5.32	3.11
222	Ambon	90	FR	1554773601	100	47.55	-2.56	42.01	4.41
223	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
224	Pisco	0	PE	1554771600	78	-13.71	-76.2	71.6	19.46
225	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
226	Presidencia Roque Saenz Pena	0	AR	1554773623	88	-26.79	-60.44	61.66	4.0
227	Saint-Louis	0	CH	1554773581	100	47.59	7.56	48.99	1.12
228	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
229	Georgetown	0	GY	1554771600	88	6.8	-58.16	80.6	6.93
230	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
231	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
232	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
233	San Cristobal	75	EC	1554773480	93	-0.39	-78.55	57.2	8.05
234	Markdorf	88	DE	1554773591	93	47.72	9.39	48.99	1.12
235	Grand Gaube	75	MU	1554773338	78	-20.01	57.66	80.6	10.29
236	Khatanga	76	RU	1554773613	91	71.98	102.47	9.01	13.35
237	Port Lincoln	36	AU	1554773599	90	-34.72	135.86	61.66	10.56
238	Lavrentiya	64	RU	1554773626	99	65.58	-170.99	17.74	29.24
239	Narasannapeta	0	IN	1554773626	65	18.42	84.04	85.33	3.89
240	Buala	68	SB	1554773626	100	-8.15	159.59	81.64	4.07
241	Barrow	0	AR	1554773598	51	-38.31	-60.23	66.7	13.18
242	Saskylakh	44	RU	1554773582	86	71.97	114.09	8.38	10.6
243	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
244	Dingli	20	MT	1554773468	81	35.86	14.38	55.99	10.29
245	Bluff	0	AU	1554773599	50	-23.58	149.07	84.43	5.12
246	Ariogala	90	LT	1554771000	85	55.26	23.48	32.0	3.36
247	Palaikastron	8	GR	1554773455	70	35.2	26.25	57.99	8.01
248	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
249	Flinders	0	AU	1554773539	29	-34.58	150.85	80.01	17.22
250	Bubaque	0	GW	1554773628	100	11.28	-15.83	79.12	10.16
251	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
252	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
253	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
254	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
255	Yellowknife	75	CA	1554773431	80	62.45	-114.38	35.6	9.17
256	Dingle	20	PH	1554773629	72	11.0	122.67	86.32	10.67
257	Honiara	64	SB	1554773630	96	-9.43	159.96	79.57	1.83
258	Atuona	76	PF	1554773566	100	-9.8	-139.03	80.83	7.31
259	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
260	Pecangakan	32	ID	1554773630	82	-6.93	109.12	81.19	3.06
261	Kirakira	56	SB	1554773630	100	-10.46	161.92	83.44	5.01
262	Genhe	48	CN	1554773489	47	50.78	121.52	39.07	5.23
263	Meulaboh	12	ID	1554773581	100	4.14	96.13	84.43	3.0
264	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
265	Isangel	20	VU	1554771600	66	-19.55	169.27	84.2	5.82
266	Pangnirtung	68	CA	1554773605	92	66.15	-65.72	12.16	7.36
267	Hualmay	32	PE	1554773631	87	-11.1	-77.61	64.72	5.23
268	Severo-Kurilsk	24	RU	1554773632	91	50.68	156.12	32.59	14.29
269	Bambous Virieux	75	MU	1554773338	78	-20.34	57.76	80.6	10.29
270	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
271	Barrow	0	AR	1554773598	51	-38.31	-60.23	66.7	13.18
272	Bethel	90	US	1554771360	86	60.79	-161.76	39.2	11.41
273	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
274	Kununurra	90	AU	1554771600	66	-15.77	128.74	86.0	16.11
275	Ostrovnoy	64	RU	1554773595	85	68.05	39.51	21.52	8.32
276	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
277	Pangnirtung	68	CA	1554773605	92	66.15	-65.72	12.16	7.36
278	Samarai	92	PG	1554773635	99	-10.62	150.67	82.99	10.6
279	Talnakh	76	RU	1554773635	95	69.49	88.39	16.21	9.33
280	Port Alfred	88	ZA	1554773542	96	-33.59	26.89	63.0	3.56
281	Vestmannaeyjar	32	IS	1554773636	89	63.44	-20.27	40.78	17.83
282	Ilulissat	0	GL	1554771000	48	69.22	-51.1	39.2	18.34
283	Karratha	24	AU	1554773332	61	-20.74	116.85	83.32	6.24
284	Takehara	0	JP	1554771600	39	34.35	132.9	59.0	8.05
285	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
286	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
287	Castro	90	CL	1554771600	100	-42.48	-73.76	51.8	17.22
288	Kurchum	0	KZ	1554773637	65	48.57	83.65	43.3	15.7
289	Carnarvon	0	ZA	1554773586	81	-30.97	22.13	53.83	8.32
290	Atuona	76	PF	1554773566	100	-9.8	-139.03	80.83	7.31
291	Nemuro	75	JP	1554771600	69	43.32	145.57	39.2	9.17
292	Atuona	76	PF	1554773566	100	-9.8	-139.03	80.83	7.31
293	Lompoc	1	US	1554773564	68	34.64	-120.46	77.0	13.87
294	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
295	Ormara	8	PK	1554773638	93	25.21	64.64	77.68	7.43
296	Saint-Philippe	90	CA	1554773550	100	45.36	-73.48	32.0	11.41
297	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
298	Sibolga	8	ID	1554773476	89	1.74	98.78	78.49	1.72
299	Cockburn Town	24	TC	1554773413	97	21.46	-71.14	78.76	17.65
300	Walvis Bay	8	NA	1554771731	93	-22.95	14.51	55.0	3.36
301	Karratha	24	AU	1554773332	61	-20.74	116.85	83.32	6.24
302	Tuktoyaktuk	75	CA	1554771600	77	69.44	-133.03	3.2	13.87
303	Busselton	0	AU	1554773112	37	-33.64	115.35	69.01	20.38
304	Butaritari	88	KI	1554773577	100	3.07	172.79	81.73	10.89
305	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
306	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
307	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
308	Sao Felix Do Xingu	92	BR	1554773394	100	-6.64	-51.99	74.14	2.33
309	Lompoc	1	US	1554773564	68	34.64	-120.46	77.0	13.87
310	Markala	0	ML	1554773644	50	13.69	-6.07	69.13	3.85
311	Banda Aceh	32	ID	1554773645	93	5.56	95.32	82.9	2.62
312	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
313	Fortuna	20	ES	1554773617	55	38.18	-1.13	60.8	16.11
314	Ahipara	0	NZ	1554773646	70	-35.17	173.16	68.23	8.59
315	Puerto Ayora	20	EC	1554773479	78	-0.74	-90.35	82.4	10.29
316	Barrow	0	AR	1554773598	51	-38.31	-60.23	66.7	13.18
317	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
318	Hilo	75	US	1554773539	61	19.71	-155.08	80.6	10.29
319	Castro	90	CL	1554771600	100	-42.48	-73.76	51.8	17.22
320	Albany	90	US	1554773576	87	42.65	-73.75	55.4	4.79
321	Girau Do Ponciano	24	BR	1554773647	92	-9.88	-36.83	73.27	4.52
322	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
323	Cape Town	0	ZA	1554773450	82	-33.93	18.42	70.0	12.75
324	Yellowknife	75	CA	1554773431	80	62.45	-114.38	35.6	9.17
325	Nikolskoye	90	RU	1554773436	93	59.7	30.79	35.6	4.47
326	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
327	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
328	Tomatlan	0	MX	1554773648	83	19.93	-105.25	66.61	2.77
329	Suez	0	EG	1554773649	93	29.97	32.54	56.26	3.29
330	Tasiilaq	92	GL	1554771000	55	65.61	-37.64	33.8	21.92
331	Airai	0	TL	1554773649	60	-8.93	125.41	84.52	1.61
332	Pevek	8	RU	1554773596	91	69.7	170.27	5.32	3.11
333	Jamestown	12	AU	1554773380	67	-33.21	138.6	56.59	11.61
334	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
335	Sumbe	76	AO	1554773650	100	-11.2	13.84	79.03	4.63
336	Lavrentiya	64	RU	1554773626	99	65.58	-170.99	17.74	29.24
337	Biak	44	ID	1554773650	87	-0.91	122.88	83.89	3.29
338	Nome	1	US	1554773532	68	30.04	-94.42	75.0	8.81
339	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
340	Saint-Philippe	90	CA	1554773550	100	45.36	-73.48	32.0	11.41
341	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
342	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
343	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
344	Hasaki	20	JP	1554773427	50	35.73	140.83	55.4	10.29
345	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
346	Aklavik	90	CA	1554771600	65	68.22	-135.01	6.8	6.93
347	Waipawa	0	NZ	1554773416	56	-39.94	176.59	68.0	1.99
348	New Norfolk	20	AU	1554773594	75	-42.78	147.06	55.99	14.99
349	Bintulu	75	MY	1554771600	83	3.17	113.03	84.2	4.7
350	Lebedyan	12	RU	1554773653	86	53.01	39.13	32.77	3.33
351	Mpika	48	ZM	1554773653	89	-11.84	31.4	61.48	4.12
352	Kleive	44	NO	1554773510	100	62.8	7.64	33.8	8.05
353	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
354	Hithadhoo	80	MV	1554773654	100	-0.6	73.08	82.99	0.6
355	Ushuaia	20	AR	1554771600	60	-54.81	-68.31	42.8	11.41
356	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
357	Cabo San Lucas	5	MX	1554773502	32	22.89	-109.91	82.4	11.41
358	Sola	0	NO	1554773541	100	58.89	5.65	37.99	4.7
359	Lorengau	76	PG	1554773602	100	-2.02	147.27	79.84	3.33
360	Tiksi	64	RU	1554773584	81	71.64	128.87	31.69	9.37
361	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
362	Yellowknife	75	CA	1554773431	80	62.45	-114.38	35.6	9.17
363	Tuktoyaktuk	75	CA	1554771600	77	69.44	-133.03	3.2	13.87
364	New Norfolk	20	AU	1554773594	75	-42.78	147.06	55.99	14.99
365	Sitamau	0	IN	1554773656	32	24.01	75.35	84.16	12.46
366	Geraldton	90	CA	1554771600	80	49.72	-86.95	30.2	6.93
367	Quatre Cocos	75	MU	1554773638	78	-20.21	57.76	80.6	10.29
368	Baghdad	90	IQ	1554771600	77	33.3	44.38	64.4	5.82
369	Belaya Gora	48	RU	1554773658	100	68.54	146.19	24.49	3.85
370	Oistins	40	BB	1554771600	73	13.07	-59.53	77.0	14.99
